Code,Borough,Measure,Year,Income
E09000001,City of London,Mean,2001/02,65120
E09000002,Barking and Dagenham,Mean,2001/02,22930
E09000003,Barnet,Mean,2001/02,39190
E09000004,Bexley,Mean,2001/02,30060
E09000005,Brent,Mean,2001/02,29430
E09000006,Bromley,Mean,2001/02,37110
E09000007,Camden,Mean,2001/02,47940
E09000008,Croydon,Mean,2001/02,31740
E09000009,Ealing,Mean,2001/02,34000
E09000010,Enfield,Mean,2001/02,30750
E09000011,Greenwich,Mean,2001/02,28290
E09000012,Hackney,Mean,2001/02,26320
E09000013,Hammersmith and Fulham,Mean,2001/02,43100
E09000014,Haringey,Mean,2001/02,31510
E09000015,Harrow,Mean,2001/02,35720
E09000016,Havering,Mean,2001/02,30610
E09000017,Hillingdon,Mean,2001/02,32140
E09000018,Hounslow,Mean,2001/02,33000
E09000019,Islington,Mean,2001/02,37560
E09000020,Kensington and Chelsea,Mean,2001/02,75210
E09000021,Kingston upon Thames,Mean,2001/02,40100
E09000022,Lambeth,Mean,2001/02,33280
E09000023,Lewisham,Mean,2001/02,28930
E09000024,Merton,Mean,2001/02,39270
E09000025,Newham,Mean,2001/02,21270
E09000026,Redbridge,Mean,2001/02,32250
E09000027,Richmond upon Thames,Mean,2001/02,50450
E09000028,Southwark,Mean,2001/02,31770
E09000029,Sutton,Mean,2001/02,33220
E09000030,Tower Hamlets,Mean,2001/02,29690
E09000031,Waltham Forest,Mean,2001/02,26940
E09000032,Wandsworth,Mean,2001/02,44900
E09000033,Westminster,Mean,2001/02,55470
E13000001,Inner London,Mean,2001/02,37520
E13000002,Outer London,Mean,2001/02,33700
E12000001,North East,Mean,2001/02,22837
E12000002,North West,Mean,2001/02,25313
E12000003,Yorkshire and the Humber,Mean,2001/02,23049
E12000004,East Midlands,Mean,2001/02,23622
E12000005,West Midlands,Mean,2001/02,24942
E12000006,East of England,Mean,2001/02,29196
E12000007,London,Mean,2001/02,35236
E12000008,South East,Mean,2001/02,33075
E12000009,South West,Mean,2001/02,25927
W92000004,Wales,Mean,2001/02,21237
S92000003,Scotland,Mean,2001/02,24113
N92000002,Northern Ireland,Mean,2001/02,22440
K02000001,UK,Mean,2001/02,26758
E09000001,City of London,Mean,2002/03,66410
E09000002,Barking and Dagenham,Mean,2002/03,23200
E09000003,Barnet,Mean,2002/03,39470
E09000004,Bexley,Mean,2002/03,30420
E09000005,Brent,Mean,2002/03,29500
E09000006,Bromley,Mean,2002/03,37640
E09000007,Camden,Mean,2002/03,48430
E09000008,Croydon,Mean,2002/03,32040
E09000009,Ealing,Mean,2002/03,34120
E09000010,Enfield,Mean,2002/03,30830
E09000011,Greenwich,Mean,2002/03,28830
E09000012,Hackney,Mean,2002/03,26900
E09000013,Hammersmith and Fulham,Mean,2002/03,43670
E09000014,Haringey,Mean,2002/03,31870
E09000015,Harrow,Mean,2002/03,35900
E09000016,Havering,Mean,2002/03,30910
E09000017,Hillingdon,Mean,2002/03,32360
E09000018,Hounslow,Mean,2002/03,33120
E09000019,Islington,Mean,2002/03,38050
E09000020,Kensington and Chelsea,Mean,2002/03,76790
E09000021,Kingston upon Thames,Mean,2002/03,40500
E09000022,Lambeth,Mean,2002/03,33700
E09000023,Lewisham,Mean,2002/03,29350
E09000024,Merton,Mean,2002/03,39770
E09000025,Newham,Mean,2002/03,21700
E09000026,Redbridge,Mean,2002/03,32480
E09000027,Richmond upon Thames,Mean,2002/03,51380
E09000028,Southwark,Mean,2002/03,32270
E09000029,Sutton,Mean,2002/03,33660
E09000030,Tower Hamlets,Mean,2002/03,30190
E09000031,Waltham Forest,Mean,2002/03,27250
E09000032,Wandsworth,Mean,2002/03,45530
E09000033,Westminster,Mean,2002/03,56250
E13000001,Inner London,Mean,2002/03,38140
E13000002,Outer London,Mean,2002/03,34060
E12000001,North East,Mean,2002/03,23904
E12000002,North West,Mean,2002/03,25856
E12000003,Yorkshire and the Humber,Mean,2002/03,23604
E12000004,East Midlands,Mean,2002/03,24554
E12000005,West Midlands,Mean,2002/03,25584
E12000006,East of England,Mean,2002/03,30173
E12000007,London,Mean,2002/03,35684
E12000008,South East,Mean,2002/03,34520
E12000009,South West,Mean,2002/03,27663
W92000004,Wales,Mean,2002/03,22407
S92000003,Scotland,Mean,2002/03,25884
N92000002,Northern Ireland,Mean,2002/03,23244
K02000001,UK,Mean,2002/03,27715
E09000001,City of London,Mean,2003/04,69800
E09000002,Barking and Dagenham,Mean,2003/04,24240
E09000003,Barnet,Mean,2003/04,41010
E09000004,Bexley,Mean,2003/04,31760
E09000005,Brent,Mean,2003/04,30520
E09000006,Bromley,Mean,2003/04,39380
E09000007,Camden,Mean,2003/04,50470
E09000008,Croydon,Mean,2003/04,33380
E09000009,Ealing,Mean,2003/04,35340
E09000010,Enfield,Mean,2003/04,31900
E09000011,Greenwich,Mean,2003/04,30310
E09000012,Hackney,Mean,2003/04,28380
E09000013,Hammersmith and Fulham,Mean,2003/04,45640
E09000014,Haringey,Mean,2003/04,33250
E09000015,Harrow,Mean,2003/04,37240
E09000016,Havering,Mean,2003/04,32210
E09000017,Hillingdon,Mean,2003/04,33630
E09000018,Hounslow,Mean,2003/04,34300
E09000019,Islington,Mean,2003/04,39750
E09000020,Kensington and Chelsea,Mean,2003/04,80820
E09000021,Kingston upon Thames,Mean,2003/04,42180
E09000022,Lambeth,Mean,2003/04,35200
E09000023,Lewisham,Mean,2003/04,30720
E09000024,Merton,Mean,2003/04,41530
E09000025,Newham,Mean,2003/04,22860
E09000026,Redbridge,Mean,2003/04,33760
E09000027,Richmond upon Thames,Mean,2003/04,53940
E09000028,Southwark,Mean,2003/04,33810
E09000029,Sutton,Mean,2003/04,35180
E09000030,Tower Hamlets,Mean,2003/04,31670
E09000031,Waltham Forest,Mean,2003/04,28440
E09000032,Wandsworth,Mean,2003/04,47610
E09000033,Westminster,Mean,2003/04,58820
E13000001,Inner London,Mean,2003/04,39980
E13000002,Outer London,Mean,2003/04,35500
E12000001,North East,Mean,2003/04,25240
E12000002,North West,Mean,2003/04,26547
E12000003,Yorkshire and the Humber,Mean,2003/04,24735
E12000004,East Midlands,Mean,2003/04,26200
E12000005,West Midlands,Mean,2003/04,26800
E12000006,East of England,Mean,2003/04,32115
E12000007,London,Mean,2003/04,37283
E12000008,South East,Mean,2003/04,35457
E12000009,South West,Mean,2003/04,28243
W92000004,Wales,Mean,2003/04,23329
S92000003,Scotland,Mean,2003/04,26570
N92000002,Northern Ireland,Mean,2003/04,24186
K02000001,UK,Mean,2003/04,28839
E09000001,City of London,Mean,2004/05,74510
E09000002,Barking and Dagenham,Mean,2004/05,25760
E09000003,Barnet,Mean,2004/05,43320
E09000004,Bexley,Mean,2004/05,33730
E09000005,Brent,Mean,2004/05,32120
E09000006,Bromley,Mean,2004/05,41880
E09000007,Camden,Mean,2004/05,53450
E09000008,Croydon,Mean,2004/05,35340
E09000009,Ealing,Mean,2004/05,37210
E09000010,Enfield,Mean,2004/05,33570
E09000011,Greenwich,Mean,2004/05,32390
E09000012,Hackney,Mean,2004/05,30430
E09000013,Hammersmith and Fulham,Mean,2004/05,48470
E09000014,Haringey,Mean,2004/05,35280
E09000015,Harrow,Mean,2004/05,39270
E09000016,Havering,Mean,2004/05,34140
E09000017,Hillingdon,Mean,2004/05,35530
E09000018,Hounslow,Mean,2004/05,36120
E09000019,Islington,Mean,2004/05,42220
E09000020,Kensington and Chelsea,Mean,2004/05,86390
E09000021,Kingston upon Thames,Mean,2004/05,44660
E09000022,Lambeth,Mean,2004/05,37380
E09000023,Lewisham,Mean,2004/05,32690
E09000024,Merton,Mean,2004/05,44090
E09000025,Newham,Mean,2004/05,24490
E09000026,Redbridge,Mean,2004/05,35690
E09000027,Richmond upon Thames,Mean,2004/05,57530
E09000028,Southwark,Mean,2004/05,36020
E09000029,Sutton,Mean,2004/05,37380
E09000030,Tower Hamlets,Mean,2004/05,33790
E09000031,Waltham Forest,Mean,2004/05,30200
E09000032,Wandsworth,Mean,2004/05,50610
E09000033,Westminster,Mean,2004/05,62490
E13000001,Inner London,Mean,2004/05,42610
E13000002,Outer London,Mean,2004/05,37630
E12000001,North East,Mean,2004/05,25838
E12000002,North West,Mean,2004/05,27372
E12000003,Yorkshire and the Humber,Mean,2004/05,25777
E12000004,East Midlands,Mean,2004/05,26599
E12000005,West Midlands,Mean,2004/05,27991
E12000006,East of England,Mean,2004/05,33005
E12000007,London,Mean,2004/05,39602
E12000008,South East,Mean,2004/05,36311
E12000009,South West,Mean,2004/05,30217
W92000004,Wales,Mean,2004/05,24081
S92000003,Scotland,Mean,2004/05,28838
N92000002,Northern Ireland,Mean,2004/05,25169
K02000001,UK,Mean,2004/05,30011
E09000001,City of London,Mean,2005/06,76200
E09000002,Barking and Dagenham,Mean,2005/06,26260
E09000003,Barnet,Mean,2005/06,43890
E09000004,Bexley,Mean,2005/06,34370
E09000005,Brent,Mean,2005/06,32430
E09000006,Bromley,Mean,2005/06,42700
E09000007,Camden,Mean,2005/06,54270
E09000008,Croydon,Mean,2005/06,35890
E09000009,Ealing,Mean,2005/06,37570
E09000010,Enfield,Mean,2005/06,33890
E09000011,Greenwich,Mean,2005/06,33200
E09000012,Hackney,Mean,2005/06,31290
E09000013,Hammersmith and Fulham,Mean,2005/06,49350
E09000014,Haringey,Mean,2005/06,35890
E09000015,Harrow,Mean,2005/06,39730
E09000016,Havering,Mean,2005/06,34710
E09000017,Hillingdon,Mean,2005/06,36010
E09000018,Hounslow,Mean,2005/06,36490
E09000019,Islington,Mean,2005/06,43000
E09000020,Kensington and Chelsea,Mean,2005/06,88480
E09000021,Kingston upon Thames,Mean,2005/06,45340
E09000022,Lambeth,Mean,2005/06,38060
E09000023,Lewisham,Mean,2005/06,33360
E09000024,Merton,Mean,2005/06,44870
E09000025,Newham,Mean,2005/06,25160
E09000026,Redbridge,Mean,2005/06,36190
E09000027,Richmond upon Thames,Mean,2005/06,58800
E09000028,Southwark,Mean,2005/06,36790
E09000029,Sutton,Mean,2005/06,38090
E09000030,Tower Hamlets,Mean,2005/06,34580
E09000031,Waltham Forest,Mean,2005/06,30740
E09000032,Wandsworth,Mean,2005/06,51560
E09000033,Westminster,Mean,2005/06,63630
E13000001,Inner London,Mean,2005/06,43540
E13000002,Outer London,Mean,2005/06,38250
E12000001,North East,Mean,2005/06,26193
E12000002,North West,Mean,2005/06,28974
E12000003,Yorkshire and the Humber,Mean,2005/06,26568
E12000004,East Midlands,Mean,2005/06,28450
E12000005,West Midlands,Mean,2005/06,28333
E12000006,East of England,Mean,2005/06,33810
E12000007,London,Mean,2005/06,40335
E12000008,South East,Mean,2005/06,37831
E12000009,South West,Mean,2005/06,30273
W92000004,Wales,Mean,2005/06,25693
S92000003,Scotland,Mean,2005/06,29642
N92000002,Northern Ireland,Mean,2005/06,26011
K02000001,UK,Mean,2005/06,31016
E09000001,City of London,Mean,2006/07,81300
E09000002,Barking and Dagenham,Mean,2006/07,27960
E09000003,Barnet,Mean,2006/07,46430
E09000004,Bexley,Mean,2006/07,36560
E09000005,Brent,Mean,2006/07,34200
E09000006,Bromley,Mean,2006/07,45450
E09000007,Camden,Mean,2006/07,57520
E09000008,Croydon,Mean,2006/07,38040
E09000009,Ealing,Mean,2006/07,39620
E09000010,Enfield,Mean,2006/07,35730
E09000011,Greenwich,Mean,2006/07,35520
E09000012,Hackney,Mean,2006/07,33580
E09000013,Hammersmith and Fulham,Mean,2006/07,52440
E09000014,Haringey,Mean,2006/07,38120
E09000015,Harrow,Mean,2006/07,41970
E09000016,Havering,Mean,2006/07,36860
E09000017,Hillingdon,Mean,2006/07,38110
E09000018,Hounslow,Mean,2006/07,38490
E09000019,Islington,Mean,2006/07,45710
E09000020,Kensington and Chelsea,Mean,2006/07,94550
E09000021,Kingston upon Thames,Mean,2006/07,48050
E09000022,Lambeth,Mean,2006/07,40450
E09000023,Lewisham,Mean,2006/07,35540
E09000024,Merton,Mean,2006/07,47670
E09000025,Newham,Mean,2006/07,26980
E09000026,Redbridge,Mean,2006/07,38320
E09000027,Richmond upon Thames,Mean,2006/07,62720
E09000028,Southwark,Mean,2006/07,39230
E09000029,Sutton,Mean,2006/07,40530
E09000030,Tower Hamlets,Mean,2006/07,36930
E09000031,Waltham Forest,Mean,2006/07,32680
E09000032,Wandsworth,Mean,2006/07,54840
E09000033,Westminster,Mean,2006/07,67610
E13000001,Inner London,Mean,2006/07,46430
E13000002,Outer London,Mean,2006/07,40600
E12000001,North East,Mean,2006/07,28350
E12000002,North West,Mean,2006/07,29831
E12000003,Yorkshire and the Humber,Mean,2006/07,28510
E12000004,East Midlands,Mean,2006/07,30031
E12000005,West Midlands,Mean,2006/07,29150
E12000006,East of England,Mean,2006/07,34895
E12000007,London,Mean,2006/07,42889
E12000008,South East,Mean,2006/07,39567
E12000009,South West,Mean,2006/07,31729
W92000004,Wales,Mean,2006/07,26895
S92000003,Scotland,Mean,2006/07,30663
N92000002,Northern Ireland,Mean,2006/07,27223
K02000001,UK,Mean,2006/07,32460
E09000001,City of London,Mean,2007/08,83050
E09000002,Barking and Dagenham,Mean,2007/08,28510
E09000003,Barnet,Mean,2007/08,47050
E09000004,Bexley,Mean,2007/08,37260
E09000005,Brent,Mean,2007/08,34560
E09000006,Bromley,Mean,2007/08,46340
E09000007,Camden,Mean,2007/08,58390
E09000008,Croydon,Mean,2007/08,38630
E09000009,Ealing,Mean,2007/08,40020
E09000010,Enfield,Mean,2007/08,36100
E09000011,Greenwich,Mean,2007/08,36390
E09000012,Hackney,Mean,2007/08,34520
E09000013,Hammersmith and Fulham,Mean,2007/08,53370
E09000014,Haringey,Mean,2007/08,38790
E09000015,Harrow,Mean,2007/08,42480
E09000016,Havering,Mean,2007/08,37510
E09000017,Hillingdon,Mean,2007/08,38640
E09000018,Hounslow,Mean,2007/08,38890
E09000019,Islington,Mean,2007/08,46540
E09000020,Kensington and Chelsea,Mean,2007/08,96700
E09000021,Kingston upon Thames,Mean,2007/08,48770
E09000022,Lambeth,Mean,2007/08,41170
E09000023,Lewisham,Mean,2007/08,36270
E09000024,Merton,Mean,2007/08,48500
E09000025,Newham,Mean,2007/08,27720
E09000026,Redbridge,Mean,2007/08,38880
E09000027,Richmond upon Thames,Mean,2007/08,64040
E09000028,Southwark,Mean,2007/08,40050
E09000029,Sutton,Mean,2007/08,41300
E09000030,Tower Hamlets,Mean,2007/08,37790
E09000031,Waltham Forest,Mean,2007/08,33280
E09000032,Wandsworth,Mean,2007/08,55860
E09000033,Westminster,Mean,2007/08,68780
E13000001,Inner London,Mean,2007/08,47420
E13000002,Outer London,Mean,2007/08,41270
E12000001,North East,Mean,2007/08,28600
E12000002,North West,Mean,2007/08,30160
E12000003,Yorkshire and the Humber,Mean,2007/08,29640
E12000004,East Midlands,Mean,2007/08,31200
E12000005,West Midlands,Mean,2007/08,31200
E12000006,East of England,Mean,2007/08,36400
E12000007,London,Mean,2007/08,43680
E12000008,South East,Mean,2007/08,41600
E12000009,South West,Mean,2007/08,32760
W92000004,Wales,Mean,2007/08,28080
S92000003,Scotland,Mean,2007/08,31966
N92000002,Northern Ireland,Mean,2007/08,28227
K02000001,UK,Mean,2007/08,33657
E09000001,City of London,Mean,2008/09,89340
E09000002,Barking and Dagenham,Mean,2008/09,30650
E09000003,Barnet,Mean,2008/09,50240
E09000004,Bexley,Mean,2008/09,40020
E09000005,Brent,Mean,2008/09,36820
E09000006,Bromley,Mean,2008/09,49770
E09000007,Camden,Mean,2008/09,62450
E09000008,Croydon,Mean,2008/09,41330
E09000009,Ealing,Mean,2008/09,42610
E09000010,Enfield,Mean,2008/09,38430
E09000011,Greenwich,Mean,2008/09,39290
E09000012,Hackney,Mean,2008/09,37380
E09000013,Hammersmith and Fulham,Mean,2008/09,57220
E09000014,Haringey,Mean,2008/09,41600
E09000015,Harrow,Mean,2008/09,45330
E09000016,Havering,Mean,2008/09,40230
E09000017,Hillingdon,Mean,2008/09,41300
E09000018,Hounslow,Mean,2008/09,41420
E09000019,Islington,Mean,2008/09,49920
E09000020,Kensington and Chelsea,Mean,2008/09,104170
E09000021,Kingston upon Thames,Mean,2008/09,52180
E09000022,Lambeth,Mean,2008/09,44160
E09000023,Lewisham,Mean,2008/09,38990
E09000024,Merton,Mean,2008/09,51990
E09000025,Newham,Mean,2008/09,30000
E09000026,Redbridge,Mean,2008/09,41580
E09000027,Richmond upon Thames,Mean,2008/09,68890
E09000028,Southwark,Mean,2008/09,43090
E09000029,Sutton,Mean,2008/09,44360
E09000030,Tower Hamlets,Mean,2008/09,40730
E09000031,Waltham Forest,Mean,2008/09,35710
E09000032,Wandsworth,Mean,2008/09,59950
E09000033,Westminster,Mean,2008/09,73710
E13000001,Inner London,Mean,2008/09,51020
E13000002,Outer London,Mean,2008/09,44210
E12000001,North East,Mean,2008/09,30198
E12000002,North West,Mean,2008/09,31042
E12000003,Yorkshire and the Humber,Mean,2008/09,30496
E12000004,East Midlands,Mean,2008/09,32700
E12000005,West Midlands,Mean,2008/09,32809
E12000006,East of England,Mean,2008/09,37708
E12000007,London,Mean,2008/09,46876
E12000008,South East,Mean,2008/09,42500
E12000009,South West,Mean,2008/09,34573
W92000004,Wales,Mean,2008/09,29591
S92000003,Scotland,Mean,2008/09,33224
N92000002,Northern Ireland,Mean,2008/09,29413
K02000001,UK,Mean,2008/09,35072
E09000001,City of London,Mean,2009/10,89680
E09000002,Barking and Dagenham,Mean,2009/10,30750
E09000003,Barnet,Mean,2009/10,50100
E09000004,Bexley,Mean,2009/10,40130
E09000005,Brent,Mean,2009/10,36620
E09000006,Bromley,Mean,2009/10,49900
E09000007,Camden,Mean,2009/10,62330
E09000008,Croydon,Mean,2009/10,41280
E09000009,Ealing,Mean,2009/10,42360
E09000010,Enfield,Mean,2009/10,38210
E09000011,Greenwich,Mean,2009/10,39580
E09000012,Hackney,Mean,2009/10,37770
E09000013,Hammersmith and Fulham,Mean,2009/10,57250
E09000014,Haringey,Mean,2009/10,41640
E09000015,Harrow,Mean,2009/10,45160
E09000016,Havering,Mean,2009/10,40290
E09000017,Hillingdon,Mean,2009/10,41200
E09000018,Hounslow,Mean,2009/10,41190
E09000019,Islington,Mean,2009/10,49970
E09000020,Kensington and Chelsea,Mean,2009/10,104690
E09000021,Kingston upon Thames,Mean,2009/10,52100
E09000022,Lambeth,Mean,2009/10,44200
E09000023,Lewisham,Mean,2009/10,39130
E09000024,Merton,Mean,2009/10,52020
E09000025,Newham,Mean,2009/10,30310
E09000026,Redbridge,Mean,2009/10,41520
E09000027,Richmond upon Thames,Mean,2009/10,69140
E09000028,Southwark,Mean,2009/10,43260
E09000029,Sutton,Mean,2009/10,44470
E09000030,Tower Hamlets,Mean,2009/10,40970
E09000031,Waltham Forest,Mean,2009/10,35770
E09000032,Wandsworth,Mean,2009/10,60060
E09000033,Westminster,Mean,2009/10,73710
E13000001,Inner London,Mean,2009/10,51240
E13000002,Outer London,Mean,2009/10,44210
E12000001,North East,Mean,2009/10,30535
E12000002,North West,Mean,2009/10,32960
E12000003,Yorkshire and the Humber,Mean,2009/10,31729
E12000004,East Midlands,Mean,2009/10,32609
E12000005,West Midlands,Mean,2009/10,34781
E12000006,East of England,Mean,2009/10,37439
E12000007,London,Mean,2009/10,46953
E12000008,South East,Mean,2009/10,45089
E12000009,South West,Mean,2009/10,35273
W92000004,Wales,Mean,2009/10,29445
S92000003,Scotland,Mean,2009/10,35257
N92000002,Northern Ireland,Mean,2009/10,30404
K02000001,UK,Mean,2009/10,36254
E09000001,City of London,Mean,2010/11,93380
E09000002,Barking and Dagenham,Mean,2010/11,32010
E09000003,Barnet,Mean,2010/11,51830
E09000004,Bexley,Mean,2010/11,41760
E09000005,Brent,Mean,2010/11,37810
E09000006,Bromley,Mean,2010/11,51900
E09000007,Camden,Mean,2010/11,64550
E09000008,Croydon,Mean,2010/11,42770
E09000009,Ealing,Mean,2010/11,43690
E09000010,Enfield,Mean,2010/11,39420
E09000011,Greenwich,Mean,2010/11,41370
E09000012,Hackney,Mean,2010/11,39580
E09000013,Hammersmith and Fulham,Mean,2010/11,59430
E09000014,Haringey,Mean,2010/11,43250
E09000015,Harrow,Mean,2010/11,46680
E09000016,Havering,Mean,2010/11,41860
E09000017,Hillingdon,Mean,2010/11,42660
E09000018,Hounslow,Mean,2010/11,42500
E09000019,Islington,Mean,2010/11,51890
E09000020,Kensington and Chelsea,Mean,2010/11,109110
E09000021,Kingston upon Thames,Mean,2010/11,53970
E09000022,Lambeth,Mean,2010/11,45890
E09000023,Lewisham,Mean,2010/11,40730
E09000024,Merton,Mean,2010/11,54000
E09000025,Newham,Mean,2010/11,31760
E09000026,Redbridge,Mean,2010/11,43010
E09000027,Richmond upon Thames,Mean,2010/11,71990
E09000028,Southwark,Mean,2010/11,45060
E09000029,Sutton,Mean,2010/11,46250
E09000030,Tower Hamlets,Mean,2010/11,42760
E09000031,Waltham Forest,Mean,2010/11,37180
E09000032,Wandsworth,Mean,2010/11,62410
E09000033,Westminster,Mean,2010/11,76450
E13000001,Inner London,Mean,2010/11,53380
E13000002,Outer London,Mean,2010/11,45870
E12000001,North East,Mean,2010/11,31816
E12000002,North West,Mean,2010/11,34142
E12000003,Yorkshire and the Humber,Mean,2010/11,32386
E12000004,East Midlands,Mean,2010/11,33371
E12000005,West Midlands,Mean,2010/11,35788
E12000006,East of England,Mean,2010/11,39171
E12000007,London,Mean,2010/11,48795
E12000008,South East,Mean,2010/11,46658
E12000009,South West,Mean,2010/11,35737
W92000004,Wales,Mean,2010/11,30286
S92000003,Scotland,Mean,2010/11,36701
N92000002,Northern Ireland,Mean,2010/11,31382
K02000001,UK,Mean,2010/11,37420
E09000001,City of London,Mean,2011/12,97030
E09000002,Barking and Dagenham,Mean,2011/12,33260
E09000003,Barnet,Mean,2011/12,53540
E09000004,Bexley,Mean,2011/12,43380
E09000005,Brent,Mean,2011/12,38970
E09000006,Bromley,Mean,2011/12,53870
E09000007,Camden,Mean,2011/12,66710
E09000008,Croydon,Mean,2011/12,44240
E09000009,Ealing,Mean,2011/12,44990
E09000010,Enfield,Mean,2011/12,40600
E09000011,Greenwich,Mean,2011/12,43150
E09000012,Hackney,Mean,2011/12,41400
E09000013,Hammersmith and Fulham,Mean,2011/12,61580
E09000014,Haringey,Mean,2011/12,44850
E09000015,Harrow,Mean,2011/12,48190
E09000016,Havering,Mean,2011/12,43430
E09000017,Hillingdon,Mean,2011/12,44090
E09000018,Hounslow,Mean,2011/12,43790
E09000019,Islington,Mean,2011/12,53780
E09000020,Kensington and Chelsea,Mean,2011/12,113490
E09000021,Kingston upon Thames,Mean,2011/12,55820
E09000022,Lambeth,Mean,2011/12,47570
E09000023,Lewisham,Mean,2011/12,42320
E09000024,Merton,Mean,2011/12,55950
E09000025,Newham,Mean,2011/12,33220
E09000026,Redbridge,Mean,2011/12,44490
E09000027,Richmond upon Thames,Mean,2011/12,74800
E09000028,Southwark,Mean,2011/12,46840
E09000029,Sutton,Mean,2011/12,48020
E09000030,Tower Hamlets,Mean,2011/12,44530
E09000031,Waltham Forest,Mean,2011/12,38570
E09000032,Wandsworth,Mean,2011/12,64740
E09000033,Westminster,Mean,2011/12,79140
E13000001,Inner London,Mean,2011/12,55500
E13000002,Outer London,Mean,2011/12,47520
E12000001,North East,Mean,2011/12,32494
E12000002,North West,Mean,2011/12,35286
E12000003,Yorkshire and the Humber,Mean,2011/12,33983
E12000004,East Midlands,Mean,2011/12,34659
E12000005,West Midlands,Mean,2011/12,37421
E12000006,East of England,Mean,2011/12,40519
E12000007,London,Mean,2011/12,50616
E12000008,South East,Mean,2011/12,47733
E12000009,South West,Mean,2011/12,36910
W92000004,Wales,Mean,2011/12,32134
S92000003,Scotland,Mean,2011/12,37353
N92000002,Northern Ireland,Mean,2011/12,32444
K02000001,UK,Mean,2011/12,38685
E09000001,City of London,Mean,2012/13,99390
E09000002,Barking and Dagenham,Mean,2012/13,34080
E09000003,Barnet,Mean,2012/13,54530
E09000004,Bexley,Mean,2012/13,44430
E09000005,Brent,Mean,2012/13,39630
E09000006,Bromley,Mean,2012/13,55140
E09000007,Camden,Mean,2012/13,67990
E09000008,Croydon,Mean,2012/13,45120
E09000009,Ealing,Mean,2012/13,45690
E09000010,Enfield,Mean,2012/13,41250
E09000011,Greenwich,Mean,2012/13,44370
E09000012,Hackney,Mean,2012/13,42690
E09000013,Hammersmith and Fulham,Mean,2012/13,62910
E09000014,Haringey,Mean,2012/13,45860
E09000015,Harrow,Mean,2012/13,49060
E09000016,Havering,Mean,2012/13,44430
E09000017,Hillingdon,Mean,2012/13,44950
E09000018,Hounslow,Mean,2012/13,44490
E09000019,Islington,Mean,2012/13,54950
E09000020,Kensington and Chelsea,Mean,2012/13,116350
E09000021,Kingston upon Thames,Mean,2012/13,56920
E09000022,Lambeth,Mean,2012/13,48610
E09000023,Lewisham,Mean,2012/13,43360
E09000024,Merton,Mean,2012/13,57160
E09000025,Newham,Mean,2012/13,34260
E09000026,Redbridge,Mean,2012/13,45380
E09000027,Richmond upon Thames,Mean,2012/13,76610
E09000028,Southwark,Mean,2012/13,48000
E09000029,Sutton,Mean,2012/13,49170
E09000030,Tower Hamlets,Mean,2012/13,45720
E09000031,Waltham Forest,Mean,2012/13,39460
E09000032,Wandsworth,Mean,2012/13,66220
E09000033,Westminster,Mean,2012/13,80760
E13000001,Inner London,Mean,2012/13,56890
E13000002,Outer London,Mean,2012/13,48530
E12000001,North East,Mean,2012/13,33220
E12000002,North West,Mean,2012/13,36140
E12000003,Yorkshire and the Humber,Mean,2012/13,34470
E12000004,East Midlands,Mean,2012/13,35400
E12000005,West Midlands,Mean,2012/13,38060
E12000006,East of England,Mean,2012/13,40940
E12000007,London,Mean,2012/13,51770
E12000008,South East,Mean,2012/13,48720
E12000009,South West,Mean,2012/13,37290
W92000004,Wales,Mean,2012/13,33130
S92000003,Scotland,Mean,2012/13,38140
N92000002,Northern Ireland,Mean,2012/13,33070
K02000001,UK,Mean,2012/13,39430
E09000001,City of London,Median,2001/02,42720
E09000002,Barking and Dagenham,Median,2001/02,20120
E09000003,Barnet,Median,2001/02,29480
E09000004,Bexley,Median,2001/02,25490
E09000005,Brent,Median,2001/02,24280
E09000006,Bromley,Median,2001/02,29550
E09000007,Camden,Median,2001/02,31300
E09000008,Croydon,Median,2001/02,26450
E09000009,Ealing,Median,2001/02,27160
E09000010,Enfield,Median,2001/02,25100
E09000011,Greenwich,Median,2001/02,22960
E09000012,Hackney,Median,2001/02,22000
E09000013,Hammersmith and Fulham,Median,2001/02,30550
